Hero's Name,Attributes,Win Rate(All Skills),Matches Played(All Skills),Win Rate(Tournament),Matches Played(Tournament),Win Rate(Very High Level),Matches Played(Very High Level),Win Rate(High Level),Matches Played(High Level),Win Rate(Normal),Matches Played(Normal),,,,,,,
Riki,Agility,55.87%,1974443,51.08%,231,54.94%,"201,164",55.81%,"160,305",54.48%,"562,641",,,,,,,
Zeus,Intelligence,55.87%,3212538,50.49%,1014,54.98%,"482,115",55.77%,"356,244",55.83%,"693,110",,,,,,,
Underlord,Strength,55.00%,805163,48.70%,462,53.93%,"129,753",54.75%,"96,207",55.07%,"144,652",,,,,,,
Clinkz,Agility,54.95%,1027746,57.20%,250,56.16%,"161,839",56.93%,"113,549",52.89%,"241,552",,,,,,,
Meepo,Agility,54.37%,834423,49.85%,325,54.72%,"116,462",54.32%,"83,530",50.61%,"194,021",,,,,,,
Abanddon,Strength,54.19%,1225300,55.45%,1650,53.32%,"255,512",53.95%,"144,225",53.65%,"215,934",,,,,,,
Warlock,Intelligence,54.14%,1178085,43.92%,724,52.80%,"179,629",54.52%,"127,924",54.00%,"185,658",,,,,,,
Visage,Intelligence,54.01%,152235,59.44%,143,58.34%,"40,080",56.65%,"17,178",50.30%,"40,953",,,,,,,
Pudge,Strength,53.95%,8507290,48.83%,979,52.35%,"1,004,177",53.33%,"888,683",54.17%,"1,751,703",,,,,,,
Chaos Knight,Strength,53.77%,1353602,49.35%,689,53.49%,"154,082",53.53%,"114,240",52.91%,"288,497",,,,,,,
Naga Siren,Agility,53.72%,617275,46.00%,500,53.13%,"104,064",53.43%,"62,341",53.87%,"131,293",,,,,,,
Drow Ranger,Agility,53.68%,2554350,57.71%,584,55.00%,"225,113",54.60%,"199,211",52.35%,"660,088",,,,,,,
Lycan,Strength,53.46%,383097,67.23%,470,57.30%,"85,584",54.52%,"41,833",50.13%,"90,012",,,,,,,
Spectre,Agility,53.42%,1366031,39.11%,381,51.11%,"171,800",52.65%,"150,262",54.29%,"263,473",,,,,,,
Night Stalker,Strength,53.25%,1302928,52.99%,953,54.29%,"307,657",54.02%,"174,913",52.45%,"205,458",,,,,,,
Clockwerk,Strength,53.15%,988482,54.67%,450,53.05%,"177,369",53.07%,"125,101",53.35%,"193,511",,,,,,,
Vengeful Spirit,Agility,53.05%,977014,52.60%,481,53.66%,"123,428",53.34%,"93,041",53.09%,"219,884",,,,,,,
Wraith King,Strength,52.97%,2017415,48.60%,1107,51.68%,"268,801",52.23%,"191,248",53.09%,"424,646",,,,,,,
Undying,Strength,52.88%,966758,54.28%,1496,53.35%,"178,247",53.53%,"100,110",52.34%,"182,321",,,,,,,
Viper,Agility,52.88%,1798360,46.75%,847,52.70%,"167,064",53.39%,"151,898",52.25%,"395,210",,,,,,,
Silencer,Intelligence,52.76%,1945677,44.48%,571,51.96%,"227,983",52.61%,"188,324",53.32%,"361,457",,,,,,,
Luna,Agility,52.43%,1004128,54.03%,298,53.07%,"126,191",52.16%,"98,869",52.15%,"256,794",,,,,,,
Mirana,Agility,51.96%,3480802,55.52%,1922,53.07%,"617,711",52.30%,"431,680",51.88%,"598,126",,,,,,,
Crystal Maiden,Intelligence,51.65%,3244952,49.09%,1157,50.56%,"431,323",50.90%,"321,768",52.65%,"544,099",,,,,,,
Skywrath Mage,Intelligence,51.57%,2532591,48.32%,1281,51.45%,"384,997",51.73%,"249,382",52.29%,"502,870",,,,,,,
Dazzle,Intelligence,51.56%,1907337,50.89%,959,50.71%,"218,070",50.96%,"182,744",52.19%,"308,347",,,,,,,
Keeper of the Light,Intelligence,51.55%,1375278,56.39%,1667,52.46%,"282,922",51.78%,"153,768",52.11%,"229,667",,,,,,,
Windranger,Intelligence,51.50%,3878334,42.92%,890,50.54%,"470,214",51.31%,"391,237",51.86%,"822,672",,,,,,,
Bloodseeker,Agility,51.50%,1547551,50.49%,812,52.33%,"189,825",52.37%,"122,052",50.61%,"398,975",,,,,,,
Omniknight,Strength,51.49%,479376,52.61%,633,51.33%,"62,594",51.85%,"43,446",50.97%,"114,044",,,,,,,
Jakiro,Intelligence,51.41%,1819893,56.31%,1895,50.29%,"318,759",50.78%,"216,859",52.37%,"288,982",,,,,,,
Sand King,Strength,51.33%,1462946,52.60%,1958,51.59%,"317,722",51.51%,"181,667",51.32%,"263,111",,,,,,,
Phantom Assassin,Agility,51.20%,3467980,44.53%,375,49.34%,"276,437",50.44%,"268,989",50.75%,"844,978",,,,,,,
Treant Protector,Strength,51.19%,811589,57.35%,748,52.61%,"173,230",51.52%,"87,091",50.64%,"168,897",,,,,,,
Ancient Apparition,Intelligence,51.01%,1242514,47.10%,639,50.07%,"184,156",50.78%,"148,313",51.77%,"199,850",,,,,,,
Axe,Strength,50.89%,2477285,47.12%,1373,50.71%,"296,712",50.71%,"227,709",50.34%,"511,133",,,,,,,
Venomancer,Agility,50.85%,1099645,51.99%,302,51.35%,"134,274",51.20%,"109,873",50.96%,"278,865",,,,,,,
Phantom Lancer,Agility,50.84%,1159228,45.98%,622,51.95%,"137,766",51.04%,"93,521",49.59%,"280,848",,,,,,,
Ogre Magi,Intelligence,50.81%,4051742,47.63%,2528,50.23%,"462,852",50.43%,"388,804",51.33%,"658,551",,,,,,,
Ursa,Agility,50.56%,957243,46.82%,346,51.11%,"126,198",51.41%,"90,609",48.83%,"222,380",,,,,,,
Faceless Void,Agility,50.52%,3788594,54.19%,1921,51.67%,"572,701",51.09%,"402,324",51.08%,"683,688",,,,,,,
Shadow Shaman,Intelligence,50.47%,2381864,42.22%,810,50.76%,"297,053",50.94%,"223,634",50.38%,"349,499",,,,,,,
Phoenix,Strength,50.45%,954694,49.20%,626,49.71%,"217,673",49.99%,"131,414",50.88%,"168,031",,,,,,,
Tidehunter,Strength,50.37%,970494,41.53%,667,49.85%,"123,101",50.12%,"104,581",50.64%,"203,634",,,,,,,
Bounty Hunter,Agility,50.27%,1900691,50.61%,326,50.86%,"242,854",50.95%,"179,717",50.76%,"551,103",,,,,,,
Disruptor,Intelligence,50.19%,1173041,44.90%,539,50.11%,"199,503",50.43%,"136,862",51.26%,"172,389",,,,,,,
Weaver,Agility,50.16%,1098791,47.58%,269,49.92%,"98,692",49.77%,"86,397",50.55%,"299,974",,,,,,,
Earthshaker,Strength,50.10%,3779334,46.08%,1378,49.96%,"566,823",50.08%,"430,263",51.09%,"763,062",,,,,,,
Dark Seer,Intelligence,49.99%,210870,43.56%,101,48.49%,"22,038",49.25%,"17,436",50.09%,"66,651",,,,,,,
Invoker,Intelligence,49.85%,4461745,53.04%,1382,51.49%,"671,894",50.86%,"528,223",48.51%,"875,645",,,,,,,
Elder Titan,Strength,49.84%,239199,45.54%,202,48.53%,"30,408",49.34%,"21,752",49.91%,"63,308",,,,,,,
Slark,Agility,49.82%,3358770,49.44%,1080,48.73%,"482,378",48.81%,"353,792",50.77%,"621,198",,,,,,,
Legion Commander,Strength,49.78%,3303162,49.72%,1410,49.08%,"399,311",49.02%,"293,902",50.20%,"723,374",,,,,,,
Enigma,Intelligence,49.67%,446837,54.82%,197,49.70%,"46,617",49.68%,"40,540",50.28%,"132,002",,,,,,,
Slardar,Strength,49.59%,1467106,47.68%,690,49.85%,"176,869",49.48%,"136,300",50.44%,"347,532",,,,,,,
Chen,Intelligence,49.57%,126061,64.16%,413,53.65%,"35,161",50.48%,"13,460",48.16%,"33,464",,,,,,,
Bristleback,Strength,49.47%,2289800,40.68%,821,46.44%,"190,708",47.38%,"169,955",50.61%,"546,828",,,,,,,
Lifestealer,Strength,49.42%,1895701,47.29%,1493,49.48%,"355,996",50.21%,"225,785",48.70%,"308,972",,,,,,,
Anti-Mage,Agility,49.42%,1963800,48.17%,328,49.67%,"215,773",50.13%,"190,261",48.77%,"415,421",,,,,,,
Broodmother,Agility,49.41%,349678,63.06%,333,52.07%,"67,184",51.32%,"37,512",44.29%,"81,106",,,,,,,
Witch Doctor,Intelligence,49.40%,2084826,42.26%,620,48.31%,"208,256",49.02%,"188,140",50.54%,"331,215",,,,,,,
Dark Willow,Intelligence,49.28%,931703,52.08%,530,49.74%,"145,473",49.82%,"103,227",49.10%,"181,148",,,,,,,
Arc Warden,Agility,49.17%,372920,43.92%,189,50.54%,"70,686",50.48%,"44,778",47.86%,"87,155",,,,,,,
Spirit Breaker,Strength,49.07%,1430282,48.12%,453,48.91%,"130,889",48.82%,"108,225",48.81%,"367,442",,,,,,,
Beastmaster,Strength,49.04%,203369,60.17%,477,51.16%,"54,962",49.59%,"24,774",46.68%,"46,787",,,,,,,
Necrophos,Intelligence,48.96%,1333731,46.02%,452,48.59%,"135,033",48.46%,"122,423",49.74%,"305,876",,,,,,,
Brewmaster,Strength,48.91%,207770,51.02%,196,48.48%,"42,405",49.43%,"23,695",48.31%,"52,875",,,,,,,
Huskar,Strength,48.90%,964152,50.00%,346,53.00%,"110,220",51.43%,"76,535",47.30%,"270,704",,,,,,,
Techies,Intelligence,48.80%,1401221,49.79%,235,47.31%,"139,563",47.68%,"126,887",49.02%,"422,618",,,,,,,
Lich,Intelligence,48.79%,1093377,44.80%,1076,48.64%,"168,627",48.65%,"111,268",49.70%,"207,783",,,,,,,
Dragon Knight,Strength,48.50%,853159,43.89%,303,46.46%,"62,083",47.38%,"60,396",48.99%,"222,727",,,,,,,
Pangolier,Agility,48.48%,1140664,47.56%,595,48.41%,"257,774",48.57%,"157,915",48.73%,"236,448",,,,,,,
Winter Wyvem,Intelligence,48.48%,644568,46.15%,650,49.86%,"114,820",49.33%,"70,984",48.82%,"126,386",,,,,,,
Lion,Intelligence,48.44%,5525691,39.46%,930,48.06%,"590,491",48.21%,"533,654",49.44%,"916,696",,,,,,,
Monkey King,Agility,48.34%,2457000,51.11%,855,48.70%,"341,742",48.82%,"254,823",48.35%,"540,699",,,,,,,
Gyrocopter,Agility,48.31%,1547253,52.18%,2319,47.91%,"318,666",48.08%,"193,625",49.89%,"285,300",,,,,,,
Centaur Warrunner,Strength,48.07%,680141,47.36%,1195,48.24%,"114,636",48.36%,"77,383",48.54%,"138,331",,,,,,,
Bane,Intelligence,48.04%,413108,52.81%,623,51.50%,"87,016",49.67%,"45,528",47.44%,"84,955",,,,,,,
Kunkka,Strength,47.65%,2378392,52.83%,1889,48.30%,"380,837",48.02%,"266,779",48.13%,"469,377",,,,,,,
Enchantress,Intelligence,47.48%,614692,44.64%,224,48.00%,"49,894",48.06%,"40,876",48.30%,"193,525",,,,,,,
Juggernaut,Agility,47.36%,3191493,45.86%,1378,47.14%,"423,891",47.65%,"335,295",47.27%,"628,353",,,,,,,
Storm Spirit,Intelligence,47.26%,1625271,45.97%,633,47.80%,"236,617",47.93%,"177,829",47.69%,"332,770",,,,,,,
Pugna,Intelligence,47.16%,823112,53.50%,701,48.73%,"147,625",47.68%,"92,662",46.66%,"189,835",,,,,,,
Templar Assassin,Agility,47.11%,767218,55.12%,782,50.82%,"132,221",48.99%,"79,085",45.85%,"183,334",,,,,,,
Timbersaw,Strength,47.10%,992159,51.78%,676,48.71%,"152,352",47.72%,"106,911",46.71%,"217,004",,,,,,,
Nyx Assassin,Agility,46.92%,446426,46.52%,187,47.43%,"68,773",47.58%,"51,611",47.61%,"127,740",,,,,,,
Outworld Devourer,Intelligence,46.75%,1100351,51.93%,1138,48.37%,"291,158",47.30%,"146,216",46.31%,"190,743",,,,,,,
Shadow Fiend,Agility,46.71%,1633456,50.85%,352,45.54%,"201,299",45.92%,"172,331",48.26%,"478,573",,,,,,,
Sven,Strength,46.64%,987595,40.13%,309,46.26%,"86,174",46.42%,"77,385",47.56%,"265,073",,,,,,,
Sniper,Agility,46.61%,3006177,37.85%,354,44.28%,"119,794",45.09%,"153,804",46.76%,"944,395",,,,,,,
Troll Warlord,Agility,46.56%,619946,45.04%,262,44.39%,"59,245",44.98%,"44,591",47.74%,"194,991",,,,,,,
Razor,Agility,46.52%,513453,45.92%,466,48.19%,"60,922",46.86%,"42,732",46.65%,"153,745",,,,,,,
Mars,Strength,46.46%,671194,51.46%,342,46.81%,"102,237",46.80%,"73,244",47.03%,"166,324",,,,,,,
Magnus,Strength,46.34%,593173,47.86%,583,48.28%,"116,072",47.00%,"78,559",46.20%,"123,645",,,,,,,
Terrorblade,Agility,46.32%,368138,36.29%,124,45.80%,"45,838",46.32%,"34,174",46.76%,"100,231",,,,,,,
Shadow Demon,Intelligence,46.18%,598293,52.67%,1219,47.12%,"131,287",46.47%,"76,335",46.49%,"116,891",,,,,,,
Grimstroke,Intelligence,46.02%,1297618,43.35%,1548,45.46%,"250,845",46.11%,"164,470",47.48%,"194,935",,,,,,,
Puck,Intelligence,46.01%,586790,50.17%,586,47.45%,"118,808",46.55%,"68,809",46.00%,"139,866",,,,,,,
Tinker,Intelligence,45.87%,1959771,52.78%,540,47.19%,"284,465",46.02%,"214,117",44.75%,"359,035",,,,,,,
Lina,Intelligence,45.84%,2579093,52.25%,2618,47.47%,"539,107",46.65%,"309,679",45.74%,"514,104",,,,,,,
Death Prophet,Intelligence,45.83%,377872,43.37%,392,47.06%,"38,673",46.33%,"30,092",46.36%,"104,994",,,,,,,
Ember Spirit,Agility,45.77%,1945954,47.59%,1536,46.68%,"367,440",46.16%,"248,190",45.93%,"415,393",,,,,,,
Oracle,Intelligence,45.74%,441218,47.24%,635,47.13%,"109,828",46.76%,"59,639",45.94%,"74,425",,,,,,,
Io,Strength,45.73%,320569,61.88%,160,48.08%,"40,789",46.58%,"27,246",45.61%,"95,260",,,,,,,
Leshrac,Intelligence,45.57%,601513,59.90%,1666,47.11%,"149,936",45.91%,"72,297",46.30%,"125,186",,,,,,,
Rubick,Intelligence,45.56%,3062577,51.16%,2068,46.47%,"594,143",45.68%,"401,754",46.46%,"502,778",,,,,,,
Tusk,Strength,45.40%,877261,41.00%,461,45.48%,"123,036",45.58%,"93,135",45.50%,"181,594",,,,,,,
Doom,Strength,45.40%,504329,36.99%,146,45.82%,"65,469",45.70%,"52,767",46.02%,"124,195",,,,,,,
Alchemist,Strength,45.37%,828963,49.55%,337,47.10%,"87,050",46.30%,"72,791",44.80%,"206,711",,,,,,,
Queen of Pain,Intelligence,45.29%,1170203,44.68%,555,47.06%,"189,395",45.82%,"129,368",46.30%,"249,458",,,,,,,
Medusa,Agility,45.24%,570327,37.11%,97,43.00%,"28,075",42.59%,"33,622",47.26%,"145,068",,,,,,,
Nature's Prophet,Intelligence,45.01%,845048,49.81%,263,44.59%,"72,253",43.90%,"60,342",45.43%,"270,582",,,,,,,
Morphling,Agility,44.61%,862417,49.58%,595,46.56%,"151,505",44.24%,"96,749",43.90%,"181,467",,,,,,,
Tiny,Strength,43.84%,1276912,49.59%,1452,44.32%,"269,553",43.80%,"158,188",43.45%,"295,554",,,,,,,
Earth Spirit,Strength,43.52%,351858,44.30%,316,44.42%,"71,121",44.00%,"45,524",42.56%,"83,250",,,,,,,
Batrider,Intelligence,42.96%,208567,48.12%,239,44.90%,"38,299",43.78%,"21,436",43.67%,"56,156",,,,,,,
Lone Druid,Agility,42.49%,146075,62.89%,159,46.64%,"22,317",43.11%,"13,796",41.11%,"50,689",,,,,,,
